Name W,Result W,Technique,Name L,Result L
KIRIBAYAMA,win,uwatedashinage,MIDORIFUJI,lost
TOBIZARU,win,yorikiri,TAMAWASHI,lost
HOSHORYU,win,yorikiri,ICHINOJO,lost
WAKATAKAKAGE,win,yorikiri,MEISEI,lost
DAIEISHO,win,hikiotoshi,MITAKEUMI,lost
SHODAI,win,oshidashi,KOTONOWAKA,lost
TAKAYASU,win,hatakikomi,TAKAKEISHO,lost
HIRADOUMI,win,tsukidashi,CHIYOMARU,lost
KAGAYAKI,win,oshidashi,TERUTSUYOSHI,lost
ICHIYAMAMOTO,win,hatakikomi,ATAMIFUJI,lost
OHO,win,oshidashi,AZUMARYU,lost
CHIYOTAIRYU,win,oshidashi,KOTOEKO,lost
KOTOSHOHO,win,hikiotoshi,OKINOUMI,lost
ONOSHO,win,oshidashi,AOIYAMA,lost
ABI,win,oshidashi,CHIYOSHOMA,lost
TAKANOSHO,win,oshidashi,TAKARAFUJI,lost
TOCHINOSHIN,win,hatakikomi,MYOGIRYU,lost
NISHIKIGI,win,yorikiri,ENDO,lost
NISHIKIFUJI,win,tsukidashi,RYUDEN,lost
HOKUTOFUJI,win,yorikiri,WAKAMOTOHARU,lost
MIDORIFUJI,win,katasukashi,SADANOUMI,lost
DAIEISHO,win,oshidashi,URA,lost
TOBIZARU,win,hatakikomi,MEISEI,lost
WAKATAKAKAGE,win,yorikiri,KIRIBAYAMA,lost
MITAKEUMI,win,oshidashi,ICHINOJO,lost
HOSHORYU,win,hikkake,TAMAWASHI,lost
TAKAKEISHO,win,oshidashi,KOTONOWAKA,lost
SHODAI,win,yorikiri,TAKAYASU,lost
TERUTSUYOSHI,win,hatakikomi,TOHAKURYU,lost
HIRADOUMI,win,yorikiri,ATAMIFUJI,lost
KAGAYAKI,win,oshidashi,AZUMARYU,lost
ICHIYAMAMOTO,win,tsukidashi,OHO,lost
KOTOEKO,win,kotenage,OKINOUMI,lost
KOTOSHOHO,win,tsukiotoshi,CHIYOTAIRYU,lost
ONOSHO,win,yorikiri,CHIYOSHOMA,lost
ABI,win,tsukidashi,AOIYAMA,lost
TAKANOSHO,win,oshidashi,TOCHINOSHIN,lost
MYOGIRYU,win,okuritaoshi,TAKARAFUJI,lost
RYUDEN,win,yorikiri,ENDO,lost
NISHIKIFUJI,win,yorikiri,NISHIKIGI,lost
SADANOUMI,win,yoritaoshi,HOKUTOFUJI,lost
WAKAMOTOHARU,win,yorikiri,MIDORIFUJI,lost
KIRIBAYAMA,win,katasukashi,URA,lost
ICHINOJO,win,oshidashi,TAMAWASHI,lost
MITAKEUMI,win,oshidashi,MEISEI,lost
HOSHORYU,win,tsukiotoshi,KOTONOWAKA,lost
TAKAYASU,win,oshidashi,WAKATAKAKAGE,lost
TOBIZARU,win,oshidashi,SHODAI,lost
TAKAKEISHO,win,oshidashi,DAIEISHO,lost
